Date,Open,High,Low,Close,Adj Close,Volume
2015-03-30,5.710000,5.810000,5.630000,5.710000,4.748264,3630400
2015-03-31,5.690000,5.750000,5.410000,5.420000,4.507109,8401300
2015-04-01,5.580000,5.660000,5.520000,5.580000,4.640160,6035300
2015-04-02,5.510000,5.720000,5.430000,5.630000,4.681738,5314600
2015-04-06,5.740000,5.860000,5.700000,5.800000,4.823105,3940200
2015-04-07,5.810000,5.920000,5.650000,5.720000,4.756579,3595000
2015-04-08,5.750000,5.880000,5.570000,5.610000,4.665107,8247800
2015-04-09,5.630000,5.760000,5.510000,5.650000,4.698370,3598900
2015-04-10,5.600000,5.730000,5.570000,5.720000,4.756579,3047200
2015-04-13,5.680000,5.730000,5.590000,5.680000,4.723317,2725600
2015-04-14,5.660000,5.920000,5.660000,5.920000,4.922894,3572700
2015-04-15,5.910000,6.600000,5.860000,6.350000,5.280468,9760200
2015-04-16,6.400000,6.940000,6.400000,6.540000,5.438467,7843700
2015-04-17,6.500000,6.500000,6.100000,6.150000,5.114154,5771800
2015-04-20,6.170000,6.270000,6.100000,6.120000,5.089208,4272800
2015-04-22,6.180000,6.610000,6.160000,6.580000,5.471730,5902900
2015-04-23,6.590000,7.160000,6.540000,7.140000,5.937408,6305400
2015-04-24,7.170000,7.420000,7.040000,7.140000,5.937408,5361300
2015-04-27,7.250000,7.910000,7.150000,7.910000,6.577718,9003700
2015-04-28,8.040000,8.370000,7.860000,7.860000,6.536139,13109600
2015-04-29,7.650000,7.830000,7.560000,7.800000,6.486245,7611900
2015-04-30,7.640000,8.300000,7.530000,8.030000,6.677506,7347700
2015-05-04,8.270000,8.790000,8.260000,8.680000,7.218027,7248100
2015-05-05,8.550000,9.100000,8.550000,9.050000,7.525708,6800100
2015-05-06,9.260000,9.400000,8.850000,9.050000,7.525708,8838600
2015-05-07,9.050000,9.060000,8.300000,8.330000,6.926977,6689900
2015-05-08,8.500000,8.670000,7.980000,8.020000,6.669191,7345900
2015-05-11,8.160000,8.630000,8.160000,8.630000,7.176448,5249900
2015-05-12,8.510000,8.610000,8.230000,8.320000,6.918662,4688200
2015-05-13,8.270000,8.370000,7.910000,7.930000,6.594349,5918700
2015-05-14,7.910000,8.100000,7.660000,7.940000,6.602665,5800700
2015-05-15,7.880000,8.010000,7.800000,7.900000,6.569402,3656500
2015-05-18,7.850000,7.960000,7.510000,7.570000,6.294984,5240900
2015-05-19,7.510000,7.510000,7.090000,7.150000,5.945725,4399600
2015-05-20,7.090000,7.450000,7.020000,7.350000,6.112038,5076600
2015-05-21,7.360000,7.530000,7.230000,7.340000,6.103723,3911600
2015-05-22,7.340000,7.530000,7.060000,7.180000,5.970672,4279300
2015-05-25,7.130000,7.390000,7.100000,7.160000,5.954040,2290300
2015-05-26,7.210000,7.310000,6.960000,6.960000,5.787726,5413400
2015-05-27,6.990000,7.120000,6.870000,7.050000,5.862567,4630200
2015-05-28,6.880000,6.940000,6.500000,6.580000,5.471730,9717200
2015-05-29,6.600000,6.650000,6.100000,6.140000,5.105839,13567300
2015-06-01,6.180000,6.430000,6.080000,6.310000,5.247206,4713200
2015-06-02,6.380000,6.820000,6.340000,6.750000,5.613097,5725300
2015-06-03,6.780000,6.840000,6.430000,6.510000,5.413520,10278500
2015-06-05,6.340000,6.450000,6.100000,6.190000,5.147418,4891600
2015-06-08,6.210000,6.220000,5.970000,6.060000,5.039313,7503300
2015-06-09,6.060000,6.250000,6.020000,6.120000,5.089208,3736500
2015-06-10,6.200000,6.290000,6.030000,6.070000,5.047629,3413800
2015-06-11,6.160000,6.220000,6.010000,6.100000,5.072576,3450400
2015-06-12,6.080000,6.190000,6.000000,6.190000,5.147418,6000400
2015-06-15,6.090000,6.140000,5.940000,6.040000,5.022682,3477700
2015-06-16,6.010000,6.020000,5.780000,5.780000,4.806474,5053100
2015-06-17,5.770000,5.780000,5.540000,5.690000,4.731632,3354900
2015-06-18,5.710000,5.810000,5.570000,5.770000,4.798158,4553800
2015-06-19,5.650000,5.820000,5.610000,5.700000,4.739948,3260000
2015-06-22,5.770000,5.850000,5.650000,5.680000,4.723317,2516900
2015-06-23,5.730000,5.750000,5.650000,5.690000,4.731632,1995300
2015-06-24,5.730000,5.730000,5.520000,5.610000,4.665107,2214100
2015-06-25,5.540000,5.560000,5.330000,5.380000,4.473846,4429100
2015-06-26,5.400000,5.630000,5.360000,5.590000,4.648476,2726500
2015-06-29,5.450000,5.520000,5.320000,5.330000,4.432267,2662600
2015-06-30,5.350000,5.350000,5.120000,5.190000,4.315847,3889700
2015-07-01,5.170000,5.250000,5.060000,5.060000,4.207744,2571400
2015-07-02,5.050000,5.100000,4.920000,4.950000,4.116271,3592700
2015-07-03,4.920000,4.920000,4.750000,4.760000,3.958273,2700400
2015-07-06,4.640000,4.990000,4.620000,4.880000,4.058061,4856700
2015-07-07,4.830000,4.930000,4.650000,4.930000,4.099639,5207100
2015-07-08,4.770000,4.960000,4.630000,4.660000,3.875116,5776200
2015-07-10,4.880000,4.880000,4.500000,4.520000,3.758696,5602600
2015-07-13,4.540000,4.950000,4.420000,4.850000,4.033114,7789400
2015-07-14,4.800000,4.850000,4.650000,4.790000,3.983220,4302100
2015-07-15,4.780000,4.940000,4.610000,4.640000,3.858484,3932600
2015-07-16,4.670000,4.780000,4.500000,4.590000,3.816906,3853100
2015-07-17,4.600000,4.700000,4.480000,4.490000,3.733749,4214400
2015-07-20,4.530000,4.560000,4.310000,4.310000,3.584066,3896800
2015-07-21,4.320000,4.400000,4.050000,4.060000,3.376174,7670900
2015-07-22,4.010000,4.090000,3.920000,3.920000,3.259754,7088700
2015-07-23,3.930000,4.140000,3.910000,4.020000,3.342911,7049000
2015-07-24,4.050000,4.120000,3.900000,3.960000,3.293017,5026900
2015-07-27,3.910000,3.960000,3.800000,3.800000,3.159966,4804600
2015-07-28,3.850000,4.200000,3.820000,4.200000,3.492594,7711100
2015-07-29,4.230000,4.280000,4.100000,4.150000,3.451015,6034500
2015-07-30,4.180000,4.260000,4.020000,4.140000,3.442699,5534100
2015-07-31,4.120000,4.380000,4.040000,4.350000,3.617329,6336600
2015-08-03,4.320000,4.440000,4.230000,4.350000,3.617329,5055100
2015-08-04,4.360000,4.460000,4.310000,4.370000,3.633960,2789400
2015-08-05,4.470000,4.590000,4.350000,4.360000,3.625645,5943400
2015-08-06,4.290000,4.380000,4.180000,4.220000,3.509225,5017000
2015-08-07,4.160000,4.200000,3.990000,4.020000,3.342911,5522600
2015-08-10,4.030000,4.090000,3.960000,4.000000,3.326279,3908600
2015-08-11,3.950000,3.980000,3.820000,3.910000,3.251438,5128100
2015-08-12,3.860000,4.050000,3.800000,3.980000,3.309648,7174800
2015-08-13,3.850000,3.940000,3.570000,3.620000,3.010283,15966400
2015-08-14,3.580000,3.630000,3.430000,3.460000,2.877232,6847700
2015-08-17,3.450000,3.510000,3.400000,3.420000,2.843969,5118400
2015-08-18,3.410000,3.430000,3.280000,3.280000,2.727549,6473800
2015-08-19,3.270000,3.300000,3.100000,3.110000,2.586182,6502300
2015-08-20,3.050000,3.190000,3.040000,3.150000,2.619445,4185300
2015-08-21,3.110000,3.140000,3.030000,3.050000,2.536288,4200500
2015-08-24,2.800000,2.940000,2.750000,2.840000,2.361659,7651700
2015-08-25,2.930000,2.960000,2.740000,2.740000,2.278502,4611500
2015-08-26,2.820000,3.140000,2.760000,3.100000,2.577867,8240700
2015-08-27,3.180000,3.500000,3.180000,3.480000,2.893863,8828900
2015-08-28,3.400000,3.540000,3.300000,3.320000,2.760812,6479000
2015-08-31,3.250000,3.560000,3.190000,3.500000,2.910495,6880500
2015-09-01,3.360000,3.600000,3.350000,3.530000,2.935442,5717300
2015-09-02,3.600000,3.740000,3.540000,3.710000,3.085124,5629500
2015-09-03,3.800000,3.880000,3.700000,3.850000,3.201544,5735900
2015-09-04,3.680000,4.030000,3.680000,4.030000,3.351227,10172200
2015-09-08,4.130000,4.400000,4.100000,4.260000,3.542488,6149700
2015-09-09,4.440000,4.560000,4.300000,4.330000,3.600697,6713700
2015-09-10,4.110000,4.670000,4.110000,4.660000,3.875116,10697000
2015-09-11,4.700000,5.180000,4.660000,5.130000,4.265954,12008900
2015-09-14,5.240000,5.390000,4.740000,4.920000,4.091324,13217700
2015-09-15,4.830000,5.000000,4.660000,4.920000,4.091324,10569700
2015-09-16,5.070000,5.230000,4.980000,5.150000,4.282585,7065500
2015-09-17,5.130000,5.480000,5.080000,5.420000,4.507109,8500200
2015-09-18,5.380000,5.750000,5.340000,5.750000,4.781527,14050700
2015-09-21,5.840000,5.850000,5.660000,5.660000,4.706686,5413400
2015-09-22,5.430000,5.430000,5.060000,5.120000,4.257638,11067600
2015-09-23,5.120000,5.120000,4.070000,4.070000,3.384490,13003800
2015-09-24,3.850000,4.490000,3.850000,4.200000,3.492594,17095600
2015-09-25,4.310000,4.440000,3.920000,4.010000,3.334595,11089500
2015-09-28,3.900000,4.140000,3.860000,3.960000,3.293017,7211200
2015-09-29,4.020000,4.130000,3.930000,3.930000,3.268070,5363300
2015-09-30,4.120000,4.150000,3.920000,3.920000,3.259754,6939100
2015-10-01,3.940000,4.090000,3.690000,3.690000,3.068493,9003600
2015-10-02,3.620000,3.860000,3.560000,3.780000,3.143334,8487000
2015-10-05,3.870000,4.150000,3.850000,4.090000,3.401121,6839000
2015-10-06,4.170000,4.470000,4.170000,4.440000,3.692170,7173800
2015-10-07,4.650000,4.950000,4.560000,4.700000,3.908378,8080900
2015-10-08,4.760000,5.050000,4.700000,5.000000,4.157849,8094000
2015-10-09,5.200000,5.490000,5.150000,5.330000,4.432267,12100400
2015-10-13,5.120000,5.190000,4.550000,4.660000,3.875116,8759100
2015-10-14,4.760000,4.910000,4.440000,4.440000,3.692170,21449200
2015-10-15,4.530000,4.790000,4.360000,4.690000,3.900063,10290500
2015-10-16,4.850000,5.040000,4.710000,5.020000,4.174480,17118700
2015-10-19,5.100000,5.240000,4.970000,5.130000,4.265954,8415500
2015-10-20,5.200000,5.200000,4.750000,4.800000,3.991535,8134200
2015-10-21,4.800000,4.900000,4.650000,4.680000,3.891747,7580800
2015-10-22,4.660000,4.980000,4.660000,4.800000,3.991535,7631600
