Date,Open,High,Low,Close,Adj Close,Volume
2015-03-30,5.710000,5.810000,5.410000,5.620000,4.673422,23381600
2015-04-06,5.740000,5.920000,5.510000,5.720000,4.756579,22429100
2015-04-13,5.680000,6.940000,5.590000,6.150000,5.114154,29674000
2015-04-20,6.170000,7.420000,6.100000,7.140000,5.937408,21842400
2015-04-27,7.250000,8.370000,7.150000,8.070000,6.710769,37072900
2015-05-04,8.270000,9.400000,7.980000,8.020000,6.669191,36922600
2015-05-11,8.160000,8.630000,7.660000,7.900000,6.569402,25314000
2015-05-18,7.850000,7.960000,7.020000,7.180000,5.970672,22908000
2015-05-25,7.130000,7.390000,6.100000,6.140000,5.105839,35618400
2015-06-01,6.180000,6.840000,6.080000,6.190000,5.147418,25608600
2015-06-08,6.210000,6.290000,5.970000,6.190000,5.147418,24104400
2015-06-15,6.090000,6.140000,5.540000,5.700000,4.739948,19699500
2015-06-22,5.770000,5.850000,5.330000,5.590000,4.648476,13881900
2015-06-29,5.450000,5.520000,4.750000,4.760000,3.958273,15416800
2015-07-06,4.640000,4.990000,4.500000,4.520000,3.758696,21442600
2015-07-13,4.540000,4.950000,4.420000,4.490000,3.733749,24091600
2015-07-20,4.530000,4.560000,3.900000,3.960000,3.293017,30732300
2015-07-27,3.910000,4.380000,3.800000,4.350000,3.617329,30420900
2015-08-03,4.320000,4.590000,3.990000,4.020000,3.342911,24327500
2015-08-10,4.030000,4.090000,3.430000,3.460000,2.877232,39025600
2015-08-17,3.450000,3.510000,3.030000,3.050000,2.536288,26480300
2015-08-24,2.800000,3.540000,2.740000,3.320000,2.760812,35811800
2015-08-31,3.250000,4.030000,3.190000,4.030000,3.351227,34135400
2015-09-07,4.030000,5.180000,4.030000,5.130000,4.265954,35569300
2015-09-14,5.240000,5.750000,4.660000,5.750000,4.781527,53403800
2015-09-21,5.840000,5.850000,3.850000,4.010000,3.334595,57669900
2015-09-28,3.900000,4.150000,3.560000,3.780000,3.143334,37004200
2015-10-05,3.870000,5.490000,3.850000,5.330000,4.432267,42288100
2015-10-12,5.330000,5.330000,4.360000,5.020000,4.174480,57617500
2015-10-19,5.100000,5.240000,4.650000,4.920000,4.091324,39015600
2015-10-26,5.000000,5.040000,4.260000,4.340000,3.609013,20190500
2015-11-02,4.340000,5.330000,4.340000,5.000000,4.157849,37337300
2015-11-09,4.990000,5.460000,4.900000,4.900000,4.074692,31436600
2015-11-16,4.900000,6.140000,4.810000,5.860000,4.873000,37110900
2015-11-23,5.850000,6.370000,5.570000,5.880000,4.889631,30924800
2015-11-30,5.940000,6.170000,4.810000,4.870000,4.049745,39587600
2015-12-07,4.940000,5.090000,4.470000,4.510000,3.750380,28391800
2015-12-14,4.510000,4.570000,4.130000,4.190000,3.484278,23873000
2015-12-21,4.210000,4.420000,3.950000,4.330000,3.600697,14271100
2015-12-28,4.350000,4.470000,4.000000,4.000000,3.326279,10460000
2016-01-04,3.980000,3.980000,3.140000,3.420000,2.843969,27420100
2016-01-11,3.440000,3.550000,3.090000,3.170000,2.636076,29342000
2016-01-18,3.200000,3.560000,3.160000,3.450000,2.868916,21757200
2016-01-25,3.450000,3.650000,3.320000,3.550000,2.952073,16454000
2016-02-01,3.530000,4.500000,3.460000,4.380000,3.642276,32165500
2016-02-08,4.380000,4.430000,3.880000,4.020000,3.342911,16923400
2016-02-15,4.200000,4.890000,4.090000,4.630000,3.850168,29774200
2016-02-22,4.820000,5.470000,4.800000,5.000000,4.157849,35841400
2016-02-29,5.070000,7.720000,5.060000,7.560000,6.286669,51354600
2016-03-07,7.830000,8.590000,6.690000,7.060000,5.870883,60087800
2016-03-14,7.140000,8.160000,5.910000,7.920000,6.586034,53668700
2016-03-21,7.930000,8.400000,7.210000,7.790000,6.477929,31139500
2016-03-28,8.070000,8.200000,7.130000,7.350000,6.112038,21653200
2016-04-04,6.950000,8.330000,6.950000,8.250000,6.860451,8778000
2016-04-11,8.990000,13.640000,8.990000,11.920000,9.912313,28338600
2016-04-18,11.960000,14.120000,11.710000,13.400000,11.143036,31310600
2016-04-25,13.210000,13.710000,11.700000,13.140000,10.926829,45189100
2016-05-02,13.200000,13.590000,10.450000,11.140000,9.263688,43339500
2016-05-09,10.900000,10.900000,8.390000,8.400000,6.985187,52777200
2016-05-16,8.350000,8.840000,7.270000,7.280000,6.053829,46846500
2016-05-23,7.110000,7.490000,6.410000,6.430000,5.346994,32415000
2016-05-30,6.470000,7.450000,6.250000,7.340000,6.103723,45587100
2016-06-06,7.600000,8.170000,6.950000,6.950000,5.779411,53845900
2016-06-13,6.830000,7.620000,6.620000,7.330000,6.095407,48546100
2016-06-20,7.690000,8.080000,7.150000,7.370000,6.128670,43887900
2016-06-27,7.500000,8.760000,7.070000,8.760000,7.284553,43302000
2016-07-04,9.150000,9.540000,8.060000,9.060000,7.534024,57360800
2016-07-11,9.290000,10.250000,8.950000,10.250000,8.523591,59120500
2016-07-18,10.150000,11.010000,9.970000,10.880000,9.047481,45213000
2016-07-25,11.000000,11.750000,10.750000,11.070000,9.205478,33886600
2016-08-01,11.150000,11.350000,9.810000,11.020000,9.163900,33782900
2016-08-08,11.080000,11.220000,10.360000,10.780000,8.964323,28330100
2016-08-15,10.970000,11.400000,9.840000,10.090000,8.390540,39775900
2016-08-22,10.000000,10.000000,8.550000,8.800000,7.317815,40072600
2016-08-29,8.660000,9.730000,8.370000,9.700000,8.066228,32557400
2016-09-05,9.790000,9.800000,8.560000,8.650000,7.193079,25529200
2016-09-12,8.590000,8.850000,7.820000,8.010000,6.660875,38011700
2016-09-19,8.300000,9.130000,8.240000,8.710000,7.242974,37306400
2016-09-26,8.600000,9.480000,8.410000,9.090000,7.558970,34343100
2016-10-03,9.090000,10.140000,9.090000,9.950000,8.274120,39269400
2016-10-10,10.040000,10.310000,9.730000,10.220000,8.498645,25180700
2016-10-17,10.290000,10.760000,9.960000,10.200000,8.482013,39884800
2016-10-24,10.400000,11.120000,10.200000,10.840000,9.014217,34631700
2016-10-31,10.950000,11.070000,9.430000,9.660000,8.032965,27696000
2016-11-07,10.030000,11.660000,9.830000,10.420000,8.664958,43594700
2016-11-14,10.410000,11.050000,9.920000,10.860000,9.030849,29944500
2016-11-21,10.900000,12.940000,10.900000,12.890000,10.718937,32929800
2016-11-28,12.930000,13.420000,10.910000,11.910000,9.903997,35163000
2016-12-05,12.200000,12.300000,11.150000,11.300000,9.396740,24111300
2016-12-12,11.140000,11.270000,10.510000,10.720000,8.914429,28823600
2016-12-19,10.750000,10.840000,9.410000,9.950000,8.274120,20730900
2016-12-26,9.950000,11.060000,9.950000,10.850000,9.022533,12136900
2017-01-02,10.700000,11.880000,10.610000,11.280000,9.380109,21461500
2017-01-09,11.430000,12.500000,11.400000,12.220000,10.161784,23005600
2017-01-16,12.230000,12.670000,11.490000,11.960000,9.945575,20248500
2017-01-23,12.110000,12.920000,11.850000,12.100000,10.061996,15660300
2017-01-30,12.000000,12.280000,11.360000,11.580000,9.629579,23262100
2017-02-06,11.580000,12.330000,11.020000,12.290000,10.219994,24293100
2017-02-13,12.810000,12.970000,12.180000,12.510000,10.402940,20887900
2017-02-20,12.720000,12.930000,11.600000,11.980000,9.962207,17206600
2017-02-27,11.980000,12.230000,11.600000,11.980000,9.962207,10492500
2017-03-06,12.000000,12.100000,10.240000,10.770000,8.956008,26952300
2017-03-13,10.990000,11.620000,10.480000,10.630000,8.839589,24806500
2017-03-20,10.600000,10.970000,9.530000,9.790000,8.141069,25556100
2017-03-27,9.520000,10.190000,9.010000,9.110000,7.575600,28550400
2017-04-03,9.140000,9.520000,8.360000,8.740000,7.267920,27576600
2017-04-10,8.870000,8.870000,7.280000,7.400000,6.153617,32926000
2017-04-17,7.450000,7.650000,7.050000,7.460000,6.203511,28464100
2017-04-24,7.660000,8.130000,7.270000,7.750000,6.444667,33214000
2017-05-01,7.750000,8.050000,7.010000,7.400000,6.153617,29540100
2017-05-08,7.320000,7.680000,7.140000,7.260000,6.037197,25821300
2017-05-15,7.390000,7.840000,6.370000,6.900000,5.737832,47085100
2017-05-22,6.800000,7.180000,6.510000,6.970000,5.796041,35024400
2017-05-29,6.970000,7.260000,6.650000,6.750000,5.613097,25995300
2017-06-05,6.700000,6.870000,6.240000,6.710000,5.579834,35065600
2017-06-12,6.730000,6.820000,6.240000,6.240000,5.188996,26176400
2017-06-19,6.300000,6.530000,5.970000,6.380000,5.305416,38968500
2017-06-26,6.450000,7.350000,6.430000,7.180000,5.970672,47751000
2017-07-03,7.300000,7.350000,6.920000,7.190000,5.978988,27743800
2017-07-10,7.220000,8.020000,7.160000,7.770000,6.461298,41083200
2017-07-17,7.800000,7.960000,7.360000,7.370000,6.128670,28386100
