Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,0.963750,0.975000,0.918750,0.967500,0.461848,8919200
2015-01-08,0.957500,0.970000,0.908750,0.912500,0.435593,11298400
2015-01-15,0.908750,0.931250,0.865000,0.881250,0.420675,16139200
2015-01-22,0.880000,0.895000,0.803750,0.826250,0.431375,18238400
2015-01-29,0.823750,0.865000,0.806250,0.811250,0.423543,13436800
2015-02-05,0.808750,0.817500,0.716250,0.725000,0.378513,24736000
2015-02-12,0.725000,0.775000,0.715000,0.765000,0.399397,17237600
2015-02-19,0.767500,0.833750,0.760000,0.805000,0.420280,19975200
2015-02-26,0.815000,0.858750,0.693750,0.693750,0.362198,34989600
2015-03-05,0.700000,0.700000,0.616250,0.656250,0.342620,48816000
2015-03-12,0.657500,0.688750,0.616250,0.623750,0.325652,29216000
2015-03-19,0.620000,0.647500,0.620000,0.625000,0.326304,23316800
2015-03-26,0.620000,0.665000,0.606250,0.655000,0.341967,32486400
2015-04-02,0.651250,0.711250,0.625000,0.632500,0.330220,32530400
2015-04-09,0.630000,0.646250,0.621250,0.633750,0.330873,24453600
2015-04-16,0.633750,0.661250,0.628750,0.637500,0.332831,15247200
2015-04-23,0.633750,0.660000,0.616250,0.620000,0.323694,23934400
2015-04-30,0.618750,0.695000,0.617500,0.693750,0.434391,21056800
2015-05-07,0.700000,0.712500,0.611250,0.620000,0.388213,36676800
2015-05-14,0.621250,0.622500,0.576250,0.577500,0.361601,24420000
2015-05-21,0.578750,0.588750,0.522500,0.550000,0.344382,26612000
2015-05-28,0.560000,0.576250,0.508750,0.513750,0.321684,41490400
2015-06-04,0.518750,0.518750,0.500000,0.501250,0.313857,14324800
2015-06-11,0.502500,0.507500,0.478750,0.488750,0.306031,13845600
2015-06-18,0.490000,0.502500,0.462500,0.463750,0.290377,19382400
2015-06-25,0.465000,0.466250,0.427500,0.431250,0.270027,16932800
2015-07-02,0.430000,0.431250,0.368750,0.372500,0.233241,27624800
