Date,Open,High,Low,Close,Adj Close,Volume
2015-03-30,18.620001,18.730000,18.230000,18.620001,15.745570,4054400
2015-03-31,18.309999,18.370001,17.830000,17.940001,15.170545,5094700
2015-04-01,17.780001,17.809999,17.370001,17.540001,14.832293,10595600
2015-04-02,17.459999,18.139999,17.170000,18.000000,15.221277,6519700
2015-04-06,18.240000,18.500000,17.879999,18.129999,15.331211,4765200
2015-04-07,18.350000,19.200001,18.270000,19.000000,16.066908,11772400
2015-04-08,19.450001,19.549999,18.629999,18.750000,15.855498,6513500
2015-04-09,18.450001,18.930000,18.190001,18.799999,15.897782,8139900
2015-04-10,18.799999,18.930000,18.420000,18.420000,15.576445,4013700
2015-04-13,18.400000,18.870001,18.040001,18.240000,15.424228,4761800
2015-04-14,18.549999,19.250000,18.549999,18.750000,15.855498,6921500
2015-04-15,18.450001,18.709999,18.100000,18.600000,16.250187,8478900
2015-04-16,18.459999,18.719999,18.010000,18.059999,15.778408,5130500
2015-04-17,17.910000,18.120001,17.760000,17.799999,15.551257,4104600
2015-04-20,17.860001,18.120001,17.709999,17.730000,15.490100,3035100
2015-04-22,18.270000,19.559999,18.209999,19.450001,16.992804,7975100
2015-04-23,19.260000,21.250000,19.260000,21.090000,18.425617,8204400
2015-04-24,21.950001,23.549999,21.900000,23.200001,20.269054,20963300
2015-04-27,23.350000,24.809999,23.040001,23.459999,20.496204,17059300
2015-04-28,23.730000,24.139999,22.070000,22.549999,19.701168,17206700
2015-04-29,21.650000,21.870001,21.090000,21.110001,18.443090,14041200
2015-04-30,20.600000,22.760000,20.370001,22.650000,19.788538,22251200
2015-05-04,24.100000,24.780001,23.719999,24.780001,21.649445,10121000
2015-05-05,24.879999,27.110001,24.760000,27.059999,23.641405,14709800
2015-05-06,27.500000,27.889999,24.879999,24.930000,21.780497,17730800
2015-05-07,25.000000,25.400000,23.549999,23.879999,20.863142,12752400
2015-05-08,24.450001,24.700001,22.709999,22.750000,19.875904,10498300
2015-05-11,23.260000,23.940001,23.070000,23.280001,20.338945,8290200
2015-05-12,23.200001,23.590000,22.260000,22.330000,19.508965,6338600
2015-05-13,22.150000,22.379999,21.520000,21.600000,18.871189,9515000
2015-05-14,21.549999,22.049999,21.139999,21.330000,18.635294,7312900
2015-05-15,21.350000,21.650000,21.190001,21.280001,18.591616,5580200
2015-05-18,21.209999,21.500000,20.240000,20.240000,17.683002,10128900
2015-05-19,20.000000,20.230000,19.830000,20.120001,17.578163,12234100
2015-05-20,20.010000,20.480000,19.730000,19.850000,17.342272,6727500
2015-05-21,19.780001,20.500000,19.780001,20.250000,17.691738,3455300
2015-05-22,20.500000,20.690001,20.160000,20.260000,17.700476,6084100
2015-05-25,20.110001,20.860001,20.110001,20.570000,17.971310,1530500
2015-05-26,20.639999,21.180000,20.500000,20.790001,18.163517,6830900
